row_number_demand,po_number,harvest_plan_id,leads_id,farmer_name,pond_province_name,pond_city_name,estimated_harvest_date,estimated_harvest_kg,estimated_size,doc_on_going,processing_name,distance_pond_to_processing_km,estimated_delivery_time,certification_type
136,,d43b6fe227,512rweb7jh28,PT Imani Matra Infiniti / Kho Roy Dewata Widjaja K,SULAWESI TENGAH,KABUPATEN BANGGAI,2023-10-02,97000,20,129,PT Pabrik Lamongan BMI,644.12,14.0,
19,,d43b6fe358,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,8000,60,84,PT Pabrik Lamongan BMI,689.94,16.0,Tidak
26,,d43b6fe363,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,5000,60,84,PT Piala Laut Indonesia ,1118.07,25.0,Tidak
128,,d43b6fe363,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,5000,60,84,PT Piala Laut Indonesia ,1118.07,25.0,Tidak
120,,d43b6fe381,512bxd7czf7g,Tuwuh (PT Esaputlii Barru),SULAWESI SELATAN,KABUPATEN BARRU,2023-10-01,15000,20,130,PT Pabrik Lamongan BMI,680.37,15.0,CBIB / Indogap
136,,d43b6fe381,512bxd7czf7g,Tuwuh (PT Esaputlii Barru),SULAWESI SELATAN,KABUPATEN BARRU,2023-10-01,15000,20,130,PT Pabrik Lamongan BMI,680.37,15.0,CBIB / Indogap
3,113297,d43b6fe226,512rweb7jh28,PT Imani Matra Infiniti / Kho Roy Dewata Widjaja K,SULAWESI TENGAH,KABUPATEN BANGGAI,2023-09-17,16000,40,129,PT Pabrik Lamongan BMI,644.12,14.0,
4,,manu0339,512frm55qjxh,Maruoto,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,2023-10-01,5000,30,111,PT Pabrik Lamongan BMI,680.0,15.0,
5,,manu0339,512frm55qjxh,Maruoto,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,2023-10-01,5000,30,111,PT Pabrik Lamongan BMI,680.0,15.0,
8,,d43b6fe227,512rweb7jh28,PT Imani Matra Infiniti / Kho Roy Dewata Widjaja K,SULAWESI TENGAH,KABUPATEN BANGGAI,2023-10-02,97000,20,129,PT Pabrik Lamongan BMI,644.12,14.0,
23,,40ff52cc,512d5s9wh59h,PT BSS / Esa Edi Saputra,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,2023-10-01,8000,70,80,PT Pabrik Lamongan BMI,,,
49,,d43b6fe227,512rweb7jh28,PT Imani Matra Infiniti / Kho Roy Dewata Widjaja K,SULAWESI TENGAH,KABUPATEN BANGGAI,2023-10-02,97000,20,129,PT Pabrik Lamongan BMI,644.12,14.0,
120,,d43b6fe227,512rweb7jh28,PT Imani Matra Infiniti / Kho Roy Dewata Widjaja K,SULAWESI TENGAH,KABUPATEN BANGGAI,2023-10-02,97000,20,129,PT Pabrik Lamongan BMI,644.12,14.0,
24,,manu0308,512nd6ycctxh,Nefo Rhee / PT SMM,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-02,16000,40,101,PT Pabrik Lamongan BMI,712.0,16.0,
53,,d43b6fe381,512bxd7czf7g,Tuwuh (PT Esaputlii Barru),SULAWESI SELATAN,KABUPATEN BARRU,2023-10-01,15000,20,130,PT Pabrik Lamongan BMI,680.37,15.0,CBIB / Indogap
94,,manu0308,512nd6ycctxh,Nefo Rhee / PT SMM,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-02,16000,40,101,PT Pabrik Lamongan BMI,712.0,16.0,
126,,manu0308,512nd6ycctxh,Nefo Rhee / PT SMM,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-02,16000,40,101,PT Pabrik Lamongan BMI,712.0,16.0,
43,,d43b6fe358,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,8000,60,84,PT Pabrik Lamongan BMI,689.94,16.0,Tidak
19,,40ff52cc,512d5s9wh59h,PT BSS / Esa Edi Saputra,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,2023-10-01,8000,70,80,PT Pabrik Lamongan BMI,,,
21,,manu0298,512a86nwhfqz,Pak Eko (Nefo - Maronge),NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,2023-10-01,18000,40,101,PT Pabrik Lamongan BMI,825.0,19.0,CBIB / Indogap
23,,d43b6fe453,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,15000,60,84,PT Piala Laut Indonesia ,157.57,4.0,Tidak
26,,d43b6fe353,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,2000,60,84,PT Pabrik Lamongan BMI,711.54,16.0,Tidak
36,,40ff52cc,512d5s9wh59h,PT BSS / Esa Edi Saputra,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,2023-10-01,8000,70,80,PT Pabrik Lamongan BMI,,,
42,,d43b6fe453,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,15000,60,84,PT Piala Laut Indonesia ,157.57,4.0,Tidak
44,,d43b6fe353,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,2000,60,84,PT Pabrik Lamongan BMI,711.54,16.0,Tidak
88,,manu0339,512frm55qjxh,Maruoto,NUSA TENGGARA BARAT,KABUPATEN SUMBAWA BARAT,2023-10-01,5000,30,111,PT Pabrik Lamongan BMI,680.0,15.0,
90,,d43b6fe135,512ciwkzxzem,H. Ardi/ Muh Arisaldi Ramadhan,SULAWESI TENGAH,KABUPATEN PARIGI MOUTONG,2023-10-03,3000,50,98,PT Piala Laut Indonesia ,719.82,16.0,Tidak
112,,d43b6fe453,512qhmgc9unb,PT Kemilau Bintang Timur,SULAWESI SELATAN,KABUPATEN LUWU,2023-10-02,15000,60,84,PT Piala Laut Indonesia ,157.57,4.0,Tidak
